frame_id,track_id,bbox0,bbox1,bbox2,bbox3,6,7,8,9,loc_x,loc_y
1001,1943,1450.8,573.13,42.22,67.36,1,-1,-1,-1,1471.9099999999999,640.49
1001,1964,1606.02,497.61,30.82,35.7,1,-1,-1,-1,1621.43,533.3100000000001
1001,1975,1412.59,564.06,44.96,70.47,1,-1,-1,-1,1435.07,634.53
1001,1983,112.29,687.36,71.42,114.59,1,-1,-1,-1,148.0,801.95
1001,1984,276.46,490.22,30.57,43.1,1,-1,-1,-1,291.745,533.32
1001,1989,1013.65,459.26,24.89,46.1,1,-1,-1,-1,1026.095,505.36
1001,1991,3.35,783.02,25.27,93.2,1,-1,-1,-1,15.985,876.22
1002,30,1311.05,465.86,28.84,47.45,1,-1,-1,-1,1325.47,513.3100000000001
1002,263,22.66,617.69,33.29,57.15,1,-1,-1,-1,39.305,674.84
1002,308,1213.4,493.03,40.62,65.71,1,-1,-1,-1,1233.71,558.74
1002,421,997.37,459.55,23.04,42.84,1,-1,-1,-1,1008.89,502.39
1002,587,833.58,861.39,55.28,108.49,1,-1,-1,-1,861.22,969.88
1002,719,1688.78,487.43,24.95,38.29,1,-1,-1,-1,1701.2549999999999,525.72
1002,805,1380.23,479.99,30.79,48.17,1,-1,-1,-1,1395.625,528.16
1002,868,1093.93,474.45,27.58,48.69,1,-1,-1,-1,1107.72,523.14
1002,1079,612.53,538.8,32.85,57.97,1,-1,-1,-1,628.9549999999999,596.77
1002,1497,1520.5,520.86,32.21,53.44,1,-1,-1,-1,1536.605,574.3
1002,1509,1362.73,461.05,25.7,44.96,1,-1,-1,-1,1375.58,506.01
1002,1543,815.05,806.6,68.15,129.37,1,-1,-1,-1,849.125,935.97
1002,1565,1805.06,821.9,68.6,125.02,1,-1,-1,-1,1839.36,946.92
1002,1686,899.18,811.62,67.08,123.52,1,-1,-1,-1,932.7199999999999,935.14
1002,1730,1108.55,463.34,29.32,52.94,1,-1,-1,-1,1123.21,516.28
1002,1738,1023.55,513.68,26.48,56.85,1,-1,-1,-1,1036.79,570.53
1002,1765,34.9,608.28,24.28,37.67,1,-1,-1,-1,47.04,645.9499999999999
1002,1779,1210.65,488.86,33.43,58.03,1,-1,-1,-1,1227.365,546.89
1002,1807,493.34,505.02,32.45,55.85,1,-1,-1,-1,509.565,560.87
1002,1810,923.82,506.3,33.22,58.77,1,-1,-1,-1,940.4300000000001,565.07
1002,1840,247.59,612.78,62.45,115.86,1,-1,-1,-1,278.815,728.64
1002,1850,865.54,502.33,30.68,50.87,1,-1,-1,-1,880.88,553.1999999999999
1002,1878,1582.4,545.03,26.46,42.19,1,-1,-1,-1,1595.63,587.22
1002,1896,1632.42,497.57,27.37,47.16,1,-1,-1,-1,1646.105,544.73
1002,1920,945.04,470.52,26.3,44.83,1,-1,-1,-1,958.1899999999999,515.35
1002,1929,1604.4,689.72,58.35,108.99,1,-1,-1,-1,1633.575,798.71
1002,1943,1449.26,572.4,42.31,66.68,1,-1,-1,-1,1470.415,639.0799999999999
1002,1964,1606.02,497.72,30.8,35.67,1,-1,-1,-1,1621.42,533.39
1002,1975,1413.84,564.42,44.56,70.04,1,-1,-1,-1,1436.12,634.4599999999999
1002,1983,130.3,691.21,78.38,126.58,1,-1,-1,-1,169.49,817.7900000000001
1002,1984,282.19,489.02,30.93,43.67,1,-1,-1,-1,297.655,532.6899999999999
1002,1989,1013.9,459.17,24.76,45.82,1,-1,-1,-1,1026.28,504.99
1002,1991,9.98,785.43,29.98,108.5,1,-1,-1,-1,24.97,893.93
1002,1995,1884.07,945.05,35.7,79.69,1,-1,-1,-1,1901.9199999999998,1024.74
1002,1996,1670.34,973.37,116.78,99.35,1,-1,-1,-1,1728.73,1072.72
1003,30,1310.59,465.53,29.37,48.73,1,-1,-1,-1,1325.2749999999999,514.26
1003,263,20.38,621.81,31.28,53.43,1,-1,-1,-1,36.019999999999996,675.2399999999999
1003,308,1214.54,491.28,42.39,68.78,1,-1,-1,-1,1235.735,560.06
1003,421,997.3,458.64,23.71,44.24,1,-1,-1,-1,1009.155,502.88
1003,587,832.7,862.94,55.22,108.36,1,-1,-1,-1,860.3100000000001,971.3000000000001
1003,719,1688.71,487.4,24.93,38.29,1,-1,-1,-1,1701.175,525.6899999999999
1003,805,1380.07,479.66,30.99,48.52,1,-1,-1,-1,1395.5649999999998,528.1800000000001
1003,868,1105.33,474.4,27.67,48.84,1,-1,-1,-1,1119.165,523.24
1003,1079,612.38,538.78,32.81,57.87,1,-1,-1,-1,628.785,596.65
1003,1497,1518.65,520.38,32.44,53.67,1,-1,-1,-1,1534.8700000000001,574.05
1003,1509,1362.78,461.13,25.51,44.59,1,-1,-1,-1,1375.535,505.72
1003,1543,814.69,815.75,67.85,127.49,1,-1,-1,-1,848.615,943.24
1003,1565,1803.14,837.79,72.22,124.4,1,-1,-1,-1,1839.25,962.1899999999999
1003,1686,899.1,811.15,67.23,124.16,1,-1,-1,-1,932.715,935.31
1003,1730,1106.18,466.08,28.97,52.04,1,-1,-1,-1,1120.665,518.12
1003,1738,1021.25,518.0,24.26,51.63,1,-1,-1,-1,1033.38,569.63
1003,1765,34.17,611.02,23.74,36.84,1,-1,-1,-1,46.04,647.86
1003,1779,1221.92,489.91,33.81,58.7,1,-1,-1,-1,1238.825,548.61
1003,1807,493.33,508.5,31.48,53.54,1,-1,-1,-1,509.07,562.04
1003,1810,925.21,506.59,33.39,59.4,1,-1,-1,-1,941.9050000000001,565.99
1003,1840,233.05,607.82,61.64,117.01,1,-1,-1,-1,263.87,724.83
1003,1850,866.01,501.56,30.79,51.04,1,-1,-1,-1,881.405,552.6
1003,1878,1583.92,546.24,25.9,40.85,1,-1,-1,-1,1596.8700000000001,587.09
1003,1896,1631.17,496.22,27.98,48.29,1,-1,-1,-1,1645.16,544.51
1003,1920,935.47,470.36,28.37,47.79,1,-1,-1,-1,949.655,518.15
1003,1929,1605.01,690.84,56.76,107.22,1,-1,-1,-1,1633.39,798.0600000000001
1003,1943,1447.23,570.97,44.13,68.78,1,-1,-1,-1,1469.295,639.75
1003,1964,1605.98,497.21,30.86,35.64,1,-1,-1,-1,1621.41,532.85
1003,1975,1415.08,564.79,44.15,69.6,1,-1,-1,-1,1437.155,634.39
1003,1983,150.95,704.22,77.45,125.73,1,-1,-1,-1,189.67499999999998,829.95
1003,1984,287.93,487.82,31.29,44.24,1,-1,-1,-1,303.575,532.06
1003,1989,1013.32,458.09,25.82,47.79,1,-1,-1,-1,1026.23,505.88
1003,1991,12.97,786.96,32.04,115.96,1,-1,-1,-1,28.990000000000002,902.9200000000001
1003,1995,1874.14,935.18,46.65,104.25,1,-1,-1,-1,1897.4650000000001,1039.4299999999998
1003,1996,1658.06,946.32,143.16,122.44,1,-1,-1,-1,1729.6399999999999,1068.76
1003,1999,176.66,612.26,49.23,88.97,1,-1,-1,-1,201.275,701.23
1003,2002,4.03,797.72,79.93,137.64,1,-1,-1,-1,43.995000000000005,935.36
1004,30,1311.27,466.44,28.28,47.15,1,-1,-1,-1,1325.41,513.59
1004,263,18.09,625.94,29.27,49.7,1,-1,-1,-1,32.725,675.6400000000001
1004,308,1213.5,494.87,39.27,63.69,1,-1,-1,-1,1233.135,558.56
